Ecotipo,Country,Locacion,Latitud,Longitud,30s_tm_05,30s_tm_06,30s_tm_07,30s_tm_08
Ler-0,Germany,Historicos,47° 59′ 2.4″ N,10° 52′ 18.84″ E,12.00000,15.00000,17.00000,16.70000
Oy-0,Norway,Historicos,60° 23′ 12″ N,6° 12′ 2″ E,10.20000,13.30000,14.90000,14.30000
Tu-0,Italy,Historicos,"45°00'00.0""N","7°30'00.0""E",16.00000,19.90000,22.90000,22.40000
Ler-0,Argentina,Aeroparque,34°34′S,58°30′O,15,12,11,13
Oy-0,Argentina,Aeroparque,34°34′S,58°30′O,15,12,11,13
Tu-0,Argentina,Aeroparque,34°34′S,58°30′O,15,12,11,13
Ler-0,Argentina,Palomar,34°36′S,58°40′O,"12,5416666666667","10,2794117647059","10,3472222222222","11,4638888888889"
Oy-0,Argentina,Palomar,34°36′S,58°40′O,"12,5416666666667","10,2794117647059","10,3472222222222","11,4638888888889"
Tu-0,Argentina,Palomar,34°36′S,58°40′O,"12,5416666666667","10,2794117647059","10,3472222222222","11,4638888888889"
